,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2023-08-06_14-48-05,-72875.46627710656,10727.853813726217,-2720.480962091406,-6231.428053673107,-1.298638833421819,43.69260927349845,25.61611094936961,-0.9329533406010455,-72875.47431233528,10726.8944485356,-2720.8583673228113,-6231.428053673107
2025-07-05_20-59-22,-20487.60746336154,16116.18139070947,1256.1353909955656,2191.3406663701135,-20.804329116756897,26.553507726579056,4.9964788122089185,-3.2754958211606446,-20487.60215764272,16116.169707405425,1255.8007948298955,2191.3406663701135
2025-09-27_12-54-35,-1148730.351206205,56544.80920642509,-1196.6274741713655,-13158.024520246305,-13.672750085077723,53.32724991492228,2.120028941228234,-6929.699557057564,-1152924.6509131882,56465.73228290056,-1236.332189814694,-13158.024520246305
2025-11-09_17-34-01,-36429.95272438616,32634.605067291406,715.7423215492981,1317.7801070738233,-33.4889866683303,25.5110133316697,5.353748067057527,-12.774160414452478,-36429.94106030993,32634.56491563634,714.7139993415648,1317.7801070738233
2023-08-09_16-37-41,-11926.282834607144,4771.854387760699,1176.9726446726058,898.9098082292771,-7.0565695528563595,20.82630839682588,10.672091342910203,-0.800681375070436,-11926.250127468073,4762.566472152827,1176.7291977008438,898.9098082292771
2023-08-09_12-47-42,-33623.987782812415,48096.73418847894,8512.025311489417,12509.328937750464,2.384265397507889,60.498985106378015,42.07881181847203,1.1722924774427597,-33623.80958684216,48074.854162828655,8510.505265355532,12509.328937750464
2025-06-18_15-09-25,-53055.15910348161,67273.46341787966,18366.75381834836,21817.570008293027,-38.82052180494918,42.86276713716832,9.940752198768815,-3.0588403094618,-53055.15903816165,67273.3911744183,18366.644855452127,21817.570008293027
2025-07-31_23-36-03,-63410.597123153035,18958.119614462903,-1607.62477136477,-3728.9398219048835,-29.252744185217125,10.580506058211522,-9.864742559165283,-9.678492632742811,-63410.59929630153,18949.854521917612,-1608.6287614781697,-3728.9398219048835
2025-03-01_15-04-26,-33996.009374811925,3752.845312223699,-700.2307835259279,-1911.05502303451,-12.374881666700723,19.96130773267855,5.477148879112682,-3.042887838084141,-33996.02571399053,3752.7685532179194,-700.3856299560501,-1911.05502303451
2025-06-18_16-52-32,-18382.513398913004,20215.416373927,4547.276403170991,4291.180605601639,-17.65708010623054,29.043429189570034,10.340252944489448,-0.7196213571675347,-18382.511817423467,20209.360794712895,4546.933073158746,4291.180605601639
median,-36429.95272438616,16116.18139070947,-105.37534100116923,-1176.7328456644282,-19.890498870977012,26.553507726579056,5.477148879112682,-3.0588403094618,-36429.94106030993,16116.169707405425,-105.38167816933291,-1176.7328456644282
mean,-104718.53205660978,21519.625973581173,1323.2639177188519,-276.5442847941665,-18.58274166054609,31.407459195833813,10.717634203135361,-319.16989473518555,-104909.02483152966,21513.313780675075,1320.854544597398,-276.5442847941665
std,235713.55323782275,18631.198168544615,4756.253458840374,6756.000102916825,10.557301708108165,18.601651553772115,15.790947521942549,1442.5436183683792,236558.12343782978,18623.80993718904,4757.253539652499,6756.000102916825
