trajectory,geo_rmse,geo_mean,geo_median,geo_std,geo_max,geo_min,baseline_rmse,baseline_mean,baseline_median,baseline_std,baseline_max,baseline_min,diff_rmse,diff_mean,diff_median
2025-07-11_13-33-16,1635.8697730521428,1324.9000035873105,1093.3204142174968,959.5362915908986,4417.628892198985,7.778366860429806,6594.402361562387,4084.6457473822375,2264.5990564487656,5177.046612169122,56579.81596226412,6.176998833543902,-4958.532588510245,-2759.745743794927,-1171.2786422312688
2025-06-11_20-34-24,3057.148944605229,2369.2239851423424,1800.3711747085604,1932.0811001940647,8754.994942501537,10.65737931923377,8502.424602121448,5003.826718193278,2425.7658579956656,6874.077559138765,32057.176809474295,12.532228732101174,-5445.275657516218,-2634.6027330509355,-625.3946832871052
2025-07-08_14-12-53,22780.816580716233,17890.549836210575,13159.829760350449,14102.972404507547,52332.52009996669,21.24168675187195,22323.32730876775,10366.587907807008,5063.133761558103,19770.300890074628,316997.51449442306,3.9323830462832134,457.4892719484815,7523.961928403567,8096.695998792346
2025-11-16_16-08-14,3561.5976444350677,2539.1472487922947,1541.713439435107,2497.5405962258037,12534.39337765414,7.310580814300001,3288.8972923905812,1869.3895804189456,950.155466851196,2705.9615659715446,34812.44902385723,3.3841544244355295,272.7003520444864,669.7576683733491,591.5579725839109
2025-03-01_16-46-39,1675.428785224349,1308.6120799281598,1038.5610856931432,1046.2294388060557,5383.39932094228,3.01596177982852,7870.745332200748,4581.478809462021,2275.408382898195,6399.897186893732,52161.29095776226,1.9053698112410697,-6195.316546976399,-3272.866729533861,-1236.847297205052
2024-06-20_16-55-50,2506.1766430425223,1901.1382836950825,1312.2849744375735,1632.9710935594671,8028.6141044264505,14.294119433571497,4168.057303596316,2710.7242954213593,1674.8334183889515,3166.176792327771,26649.08368635482,2.6131309752434047,-1661.8806605537939,-809.5860117262769,-362.548443951378
2023-08-04_21-47-58,11343.01916879557,6089.068835799136,2583.085843018003,9570.12667505313,48438.977529995296,17.8017000383338,12519.752014459998,4146.115426704967,966.6772209762148,11813.294094875242,121571.3820640501,5.964022962273904,-1176.7328456644282,1942.9534090941688,1616.408622041788
2025-09-28_20-23-16,4567.576695697558,3308.5858059952698,2246.296564539692,3148.970758112252,15936.84562587127,5.596967260221135,7602.286424300969,3718.281142890857,1462.33468358959,6630.923330844134,81553.17705878917,2.227331767957744,-3034.7097286034113,-409.6953368955874,783.9618809501021
2025-07-18_23-13-43,4479.604490158109,3100.098475154861,1944.9778404950612,3233.6118865113044,16983.37051082083,13.16187923779203,2440.7692663107823,1514.393211835082,863.6416993282379,1914.1493701681436,14750.506720088706,8.13746415143188,2038.8352238473267,1585.7052633197789,1081.3361411668234
2025-08-03_18-15-59,4848.590563765876,3085.399320811324,1616.6444910179744,3740.2060753622272,18951.3101628794,4.4486100150247045,7205.680533472523,3944.8468284630444,1601.6347175938638,6029.926653818429,76120.9661129612,2.779950508758988,-2357.089969706647,-859.4475076517206,15.009773424110563
2025-07-04_17-24-46,1363.4380578828316,1046.4587323786925,767.9027567936841,874.0065555313001,4191.7883700301545,4.895371626790883,2206.829042458751,1151.8340733798616,690.8855923243361,1882.3848411099582,22929.243721158364,4.691504558435353,-843.3909845759192,-105.37534100116909,77.01716446934802
2023-08-06_14-48-05,2986.7393628719174,2273.652857230073,1804.647552042129,1936.7794677087197,11341.42808866526,18.25396829086996,9218.167416545024,4994.13381932148,2099.948245207377,7748.111893497784,74308.27757093745,2.8237711124953186,-6231.428053673107,-2720.4809620914066,-295.30069316524805
2025-07-05_20-59-22,4330.690783583603,2538.118181077521,992.9508246838012,3508.965483144525,17313.61271767971,1.2648468965533781,2139.3501172134893,1282.0525144927383,814.9817738640223,1712.6471539999757,21264.742431619703,1.854492305467779,2191.3406663701135,1256.0656665847828,177.9690508197789
2025-09-27_12-54-35,3984.566662339977,2496.7070930013824,2023.8972568024724,3105.3542758255035,56868.81872552232,15.833328745234724,17142.591182586282,3692.8964162422703,1631.37588546946,16740.100014999614,1153739.5281149126,2.519017147458141,-13158.024520246305,-1196.189323240888,392.52137133301244
2025-11-09_17-34-01,6004.679449989019,3546.4052928404376,1898.8637321969268,4845.532457432698,32789.81079767227,11.34526565921245,4686.899342915196,2831.415026242344,1547.9841720744505,3734.98519405204,40140.966111371636,2.287730708183231,1317.7801070738233,714.9902665980935,350.8795601224763
