time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude,qz,qy,qx,qw,roll,pitch,yaw,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x,mag_z,mag_y,mag_x,relativeAltitude,pressure,grav_z,grav_y,grav_x
2023-08-09 16:37:45+00:00,0.0,0.8618167042732239,12.64353370666504,12.057886123657228,0.0,0.0,65.44687616925147,-75.08315780740286,40.182190879527845,0.46404052525758743,0.4939703494310379,0.5213211945125035,0.5185371871505465,2.406673014163971,-1.528258632336344,0.9177656514304025,-0.24798829435167133,9.766124027115959,-0.22344049608467942,-0.0005481425884811696,0.004398775239159077,0.0087184651908631,-6.653513870239258,-178.47733444213867,189.00800857543945,-0.8148777770996094,998.1058605957031,-0.26469980499574114,9.80253188950675,-0.27490280887910296
2023-08-09 16:37:46+00:00,0.0,0.7794222235679626,6.076403617858887,6.638463973999023,0.0,0.0,70.65094622440098,-75.08317361541081,40.182092818552526,0.4638989908354623,0.4956127979925701,0.5213765257171222,0.5170416863901275,2.45254818882261,-1.5255254805088043,0.9606992549129895,-0.2988417941060933,9.780390600724655,-0.22909101546022362,0.00025822945013218734,-5.553360626269185e-06,-0.0003026560615663472,-6.5716518521308895,-178.9159242248535,189.27201599121094,0.0937481689453125,997.9980444335938,-0.30333108793605457,9.801343206925825,-0.2788186907768249
2023-08-09 16:37:47+00:00,0.0,20.0,6.867760181427002,8.252755165100098,0.0,0.0,71.0898922402189,-75.08316879908965,40.182086245378656,0.46430556936697526,0.495196381482211,0.5214176015420393,0.5170343843373385,2.4576589974490077,-1.52666944807226,0.9658527905290777,-0.28690370970538676,9.772084695952278,-0.24046799472333596,-8.181206015123192e-06,8.453940271075702e-05,-9.272054116342677e-05,-6.878969848155975,-179.03292251586913,189.21870254516602,-0.1975894165039062,998.0326220703125,-0.30225359542029245,9.801613228661674,-0.27042242033140995
2023-08-09 16:37:48+00:00,0.0,20.0,6.584315299987793,7.183884620666504,0.0,0.0,70.73853799247057,-75.08317558598883,40.18209498455716,0.4647453799843788,0.49480246592845234,0.5214451828173229,0.51698856481484,2.4639406161648885,-1.5278218047959464,0.9720691069960594,-0.31138740880123805,9.769211207117353,-0.22923027295369786,0.00048541964913185526,-0.0003245221502896,0.0005454154473097446,-7.819101858139038,-178.99046752929686,189.47563385009767,-0.29820739746093744,998.0445776367187,-0.3008107101278646,9.80189415386745,-0.26170635968446726
2023-08-09 16:37:49+00:00,0.0,0.2699802219867706,6.162787437438965,5.945004940032959,0.0,0.0,70.07840078836335,-75.08317459821679,40.182098100544295,0.46394101051347597,0.4956250579229423,0.5224845058151654,0.5158694950597627,2.5199014544487,-1.5249766835144587,1.027934420321669,-0.6502386776561087,9.765304998918014,-0.2470806939612058,-0.00103014101147312,0.0012272837921045747,0.0032958956699902964,-8.06956780910492,-178.97228912353515,190.06806594848632,-0.16514190673828125,998.0287768554688,-0.34255635900930925,9.80054531097412,-0.25845437429168006
2023-08-09 16:37:50+00:00,0.0,20.0,6.051835536956787,5.629839897155762,0.0,0.0,69.5404810535297,-75.083169850831,40.182093566363,0.45688728419217195,0.5042399346828461,0.5285388480533253,0.5075128799135035,2.719946423443881,-1.4973024454983799,1.2241448055614124,-2.7101280178342546,9.627586024148124,-0.34514330156214,-0.003577925194414465,0.009402961500329928,0.009921106039005909,-7.1585938310623165,-179.50725875854494,190.75822021484376,1.0576490783691406,997.8836926269531,-0.6418238606836114,9.783479418073382,-0.28128507733345026
2023-08-09 16:37:51+00:00,13.466317176818848,0.5373023152351379,5.889793395996094,5.840320587158203,1.965477466583252,218.4664764404297,68.69506909392436,-75.08317629366725,40.18208048423073,0.44855173038584845,0.5210544690489769,0.5342963955232075,0.491716984127249,2.858011939695903,-1.451808940087046,1.343729391694069,-2.9482672810554504,9.626325505120414,-0.4850593307055533,-0.0034252087908888465,0.028487046664460097,0.0004881468713782484,-6.7223218822479245,-178.7365852355957,190.99538787841797,0.9384825134277344,997.8978088378906,-1.1064377501606941,9.741433892931257,-0.3236470855772495
2023-08-09 16:37:52+00:00,10.0,0.7110780477523804,5.805435657501221,6.107614040374756,3.4718246459960938,217.31320190429688,68.25426921732114,-75.0832004961618,40.18204936268806,0.4484456405043602,0.5364328782473292,0.5332982423050063,0.4761278693165098,2.9192743471690585,-1.4222362914255686,1.3730928216661726,-2.605936128442938,9.603604594143954,-0.4645447610623457,0.005739356572104782,0.02739452979664993,-0.0018325956411321045,-6.18100788116455,-178.17843368530274,190.5829069519043,0.61131591796875,997.9366430664063,-1.4041028369556774,9.70350737138228,-0.31846459562128243
2023-08-09 16:37:53+00:00,10.0,0.7194127440452576,5.82451057434082,5.713667392730713,4.816292762756348,216.24267578125,68.4871396538277,-75.0832396525983,40.18200195558381,0.4485747223550623,0.5438796401023864,0.535268987308849,0.4652461577545513,2.9853518269278787,-1.4033183574676513,1.4226447972384366,-2.419111647776195,9.692555393491473,-0.27107262524077674,0.007995789712627549,0.00868028583603778,0.003877903742250056,-5.221965878009796,-178.31324417114257,190.02365859985352,0.7658366394042969,997.9183142089844,-1.6050383065428053,9.674339379583087,-0.25319964651550564
2023-08-09 16:37:54+00:00,10.0,0.7285411357879639,5.824049949645996,5.476591110229492,6.325443744659424,214.66534423828125,69.18992602511236,-75.08328578969274,40.18194534696744,0.44733069251690594,0.5439470165542194,0.5393515516604696,0.4616404872919832,3.0286817380360196,-1.3952141382864542,1.4676376708916254,-1.797383674021278,9.689810122762408,-0.09400374751671084,0.0016962420444802517,-0.005372342179595888,-0.00930751403315558,-5.003463897705078,-178.4113330078125,190.02963668823242,0.38978790283203124,997.9629309082031,-1.6938146948814392,9.660698464938573,-0.19275957558836251
