time,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude,qz,qy,qx,qw,roll,pitch,yaw,acc_z,acc_y,acc_x,gyro_z,gyro_y,gyro_x,mag_z,mag_y,mag_x,relativeAltitude,pressure,grav_z,grav_y,grav_x
2025-06-08 20:40:47+00:00,3.700000047683716,1.4500000476837158,6.0,28.571428298950195,13.449999809265137,307.0,10.0,-75.61336241662502,39.88671988248825,0.06066082720414241,-0.027193788217730993,-0.04890890843649898,0.9965626432163881,-0.048566072589099944,0.10092858070194126,-0.11909891480561527,9.837661431567504,-0.878285333182257,0.33876694897005316,0.03130291048425826,0.02423703787623013,0.019629017784285274,19.882583694458006,58.95967098236084,-0.2702299942076206,-4.595865689791166,1001.1797141050681,9.748210028846666,-0.9820663303431898,0.47708507516596577
2025-06-08 20:40:48+00:00,3.5,1.4600000381469729,6.0,31.632652282714844,13.799999237060549,305.29998779296875,11.0,-75.6134968623519,39.88678605761379,0.07372086656462282,-0.011818460482244629,-0.04196864938766681,0.9962853777039912,-0.017478123555210688,0.08541689982119291,-0.14692260493937223,10.225630799519648,-0.8762855310300269,-0.09842143689771901,0.03995424702559232,0.028228708462699363,0.031122239563157943,19.731835952912917,57.612589017309325,1.186234312226074,-5.47572021484375,1001.2843933105469,9.772147548441984,-0.8304218211952521,0.17256488440687792
2025-06-08 20:40:49+00:00,4.0,1.8200000524520876,6.0,31.12244987487793,14.029999732971191,304.1000061035156,11.0,-75.6136295478791,39.88685642369092,0.08614058427512643,-0.000999892247345981,-0.02917293520644303,0.9958420222997666,0.0030398808139579857,0.058306812122464136,-0.17265391469001767,10.108467717170715,-0.6533058198727667,0.10836231719469652,0.011368621575820718,-0.003554943006020037,0.024938889312616067,19.114565242420543,55.89633232656151,1.9743050011721524,-5.7591697692871096,1001.318115234375,9.793021297454834,-0.5681092277169227,-0.02678357010125181
2025-06-08 20:40:50+00:00,5.599999904632568,2.869999885559082,6.0,33.163265228271484,14.229999542236328,304.1000061035156,12.0,-75.61377229169011,39.88693324383348,0.08321713395416733,-0.005252367671091596,-0.022853917218744704,0.996235447525978,-0.0066700466554902756,0.04642562992870803,-0.1665069769322872,9.73664939993679,-0.5869194333266357,0.25165267400720187,0.007108552736826812,0.016342143763322377,0.0012335545924725031,18.470553118773182,55.17221909339982,1.9176181380194848,-5.6604148864746096,1001.3063446044922,9.798532247543335,-0.4526322522759438,0.06801863994973244
2025-06-08 20:40:51+00:00,5.400000095367432,2.259999990463257,6.0,34.693878173828125,13.6899995803833,299.20001220703125,13.0,-75.61391620896757,39.88699262961745,0.08186961961339928,-0.009529593956599702,-0.026283185872040184,0.996222368308476,-0.014712721567775554,0.053939648846886554,-0.16356501606654145,9.714645405405575,-0.9574724201919492,0.16652428937209385,0.011289458942705192,-0.014590881293226679,-0.004311987909982844,18.33332964317086,55.22185264666056,1.5348102739176799,-5.460526847839356,1001.2825698852539,9.793456865816701,-0.5305432996579579,0.14556321582034684
2025-06-08 20:40:52+00:00,4.699999809265137,1.7400000095367432,6.0,36.73469543457031,14.15999984741211,293.79998779296875,13.0,-75.61407001689076,39.8870456032455,0.08510766626924882,-0.012178437594248272,-0.034868777710564236,0.9956564428854962,-0.018357611361092704,0.07157832490546358,-0.16984903812408444,9.291506689421984,-1.0912757640590474,-0.12075754813612342,0.02704917038262257,-0.030922902437349842,-0.025316994099720953,18.389927539628804,55.10714741343075,1.4461401697901106,-5.667944526672363,1001.3072509765625,9.78144258382369,-0.7101749406785381,0.1786285516406808
2025-06-08 20:40:53+00:00,3.5999999046325684,1.3899999856948853,6.0,38.26530456542969,14.239999771118164,294.70001220703125,14.0,-75.61422424390912,39.88710821606219,0.0752925810217857,-0.03243664294481272,-0.04049451749771829,0.9957705622911454,-0.058716365154832556,0.0855670072883367,-0.14845300212502477,10.137545623401603,-1.1491071809046338,0.6840290565615391,0.010812011826898655,-0.04379663667307316,0.023833056977525847,17.84811168670654,55.03639476776123,-0.179583993665874,-6.154129419571314,1001.3650637895634,9.75564679145813,-0.8510922467708588,0.5686834746599198
2025-06-08 20:40:54+00:00,2.900000095367432,1.1399999856948853,6.0,36.224491119384766,14.420000076293944,297.20001220703125,15.0,-75.61437612399459,39.8871700745076,0.060987796944876466,-0.04227577673736955,-0.03299020477182538,0.9966934757928053,-0.08053542805525159,0.07097313832491632,-0.11936948549312844,9.775067244966825,-0.8931884334500259,0.8768062304285801,0.008029263874656547,-0.008737228573105908,0.008684490940746992,17.30437899127449,54.16221335499557,-0.6736412243053471,-6.153066635131836,1001.3649597167969,9.752916163586555,-0.7111667958979911,0.7805391537382248
2025-06-08 20:40:55+00:00,3.0,1.2799999713897705,6.0,30.10204124450684,14.380000114440918,300.3999938964844,15.0,-75.61452490277588,39.887245134450495,0.05805136875645945,-0.03997312589447092,-0.032112546541755695,0.9969901147455272,-0.07623251394765207,0.06872746156583914,-0.11369018337809209,9.87453528205947,-0.7132061677477738,0.9019747524381625,0.009411599775655219,0.021094066454823767,0.011777773455112666,17.22652298513085,53.915372675115414,-0.4701313037763942,-6.346480941772461,1001.3879852294922,9.757721749862823,-0.6882870179591792,0.7380379698064068
2025-06-08 20:40:56+00:00,3.400000095367432,1.4900000095367432,6.0,29.59183692932129,15.0,297.8999938964844,16.0,-75.6146761123091,39.88731788937002,0.057466008973242014,-0.030006819131849948,-0.03316204599810365,0.997329901565205,-0.05620506808462765,0.06964392869761492,-0.11317446549432443,9.722758497510638,-1.0057357268369929,0.6128667724147743,0.009232992185820623,0.02502038932994542,-0.0015797659536033468,17.528785472013514,53.45367657408423,0.5334387645695586,-6.329834938049316,1001.3859939575195,9.769422868285517,-0.6987032336418075,0.542891030961817
2025-06-08 20:40:57+00:00,4.900000095367432,2.190000057220459,6.0,34.693878173828125,13.609999656677246,298.0,15.0,-75.61482572928071,39.88738175947219,0.06179866262457583,-0.023119574393888866,-0.03564144464002711,0.9971810350514422,-0.041826570312483095,0.07400973005728284,-0.12223803974462273,9.769613367138486,-1.1729971047001655,0.4054521638053385,0.011153237829649212,-0.0025058240348101593,0.0023251544550999597,17.838717727661134,53.00326503753662,1.2102399720996617,-6.252547645568848,1001.3767883300782,9.773247439451891,-0.7460979193147986,0.40189421598357383
2025-06-08 20:40:58+00:00,4.599999904632568,1.840000033378601,7.0,37.75510025024414,13.5,296.3999938964844,16.0,-75.61496738344431,39.88744902424514,0.06483268588781352,-0.02655649194493885,-0.039307164885103656,0.9967623108625412,-0.048025184646248775,0.08189291365444656,-0.12792930662631985,9.690292649269104,-1.0859373161196708,0.5437493927637115,0.002132366008936511,-0.0211707770772591,-0.002394998095842305,17.653026211018464,53.33416623485331,0.9690285498770524,-6.067274044721555,1001.354714418069,9.764061613082886,-0.8254666888713836,0.46202133774757387
2025-06-08 20:40:59+00:00,3.900000095367432,1.440000057220459,6.0,33.67346954345703,12.90999984741211,292.70001220703125,16.0,-75.61509428545833,39.88751918077469,0.06439693456458058,-0.0341155667280413,-0.041579468118161225,0.9964708126697344,-0.0629162790695416,0.08737036654936894,-0.12632338595144524,9.664071482055041,-1.026534593566701,0.70958153070996,0.009284891848326447,0.010926150998227732,4.758170745142842e-06,17.44886285431531,53.321966326966574,0.5859734594289746,-6.426608085632324,1001.3975265502929,9.751670321639704,-0.8766355465869514,0.6083884579794747
2025-06-08 20:41:00+00:00,3.400000095367432,1.3600000143051147,6.0,32.65306091308594,12.769999504089355,292.8999938964844,15.0,-75.61522923409939,39.88756880164146,0.06250827505004283,-0.03470752677778792,-0.04364698701123195,0.9964813135638095,-0.06402730934395644,0.09144811088790984,-0.12236016590406394,9.715975818634034,-1.144227901995182,0.7337390177324414,-0.001306910971595585,-0.013791620074606697,-0.00012448364180851423,17.349985618591308,53.21700908660889,0.554855985287577,-6.285312843322754,1001.3807220458984,9.74746078075749,-0.9150209226230583,0.6189036575874479
2025-06-08 20:41:01+00:00,4.300000190734863,1.4299999475479126,6.0,29.59183692932129,11.269999504089355,292.29998779296875,16.0,-75.61535211279988,39.88762487657368,0.05521973427765219,-0.0401222453053508,-0.04418857714959548,0.9966784946772517,-0.07549136116796606,0.09263473095334303,-0.10719382496816768,9.73637185915552,-0.9184695843494299,1.1531534928527445,-0.022967753246911016,-0.00023164079087137666,0.0034202746138555203,17.1241637134552,53.29240509033203,0.17031199533492328,-6.456069564819336,1001.4010162353516,9.738824883285833,-0.9245559062276568,0.7314786467016959
