timestamp,latitude,longitude,altitude,velocity_north,velocity_east,velocity_vertical,roll,pitch,yaw,acc_bias_x,acc_bias_y,acc_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z,latitude_cov,longitude_cov,altitude_cov,velocity_n_cov,velocity_e_cov,velocity_v_cov,roll_cov,pitch_cov,yaw_cov,acc_bias_x_cov,acc_bias_y_cov,acc_bias_z_cov,gyro_bias_x_cov,gyro_bias_y_cov,gyro_bias_z_cov
2025-09-28T20:23:17Z,39.654324963282505,-77.7084973739955,144.3850527676482,14.949909863992715,4.164228284436771,-3.887262089512477,1.6532427706682762,-0.8602085304927027,-2.894721210393919,0.0,0.0,0.0,0.0,0.0,0.0,1.0861879360626409e-12,9.496784071228441e-13,1.8830521524662258,0.6375323944504181,1.313821804393971,0.11197845278890824,0.00019136047549018744,0.0016645028283274591,0.003120448566301635,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:18Z,39.654453868613956,-77.70844988539169,143.7003276948298,16.16515526078254,4.9080051896803125,-1.0401510113314283,1.6359557918776106,-0.4033933088286676,-2.852131275909009,0.0,0.0,0.0,0.0,0.0,0.0,1.2954408171451996e-12,1.2150213004811987e-12,2.2869671661408226,0.9525837121586587,3.7976869879372797,0.0005087547412644485,0.0015383432038315846,0.00016788629348964745,0.005147625140440292,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:19Z,39.65461032531326,-77.7084064860033,143.06677249264487,19.088455026100693,3.897595302299788,-0.920594829530196,1.5644036049808174,-0.3256857598051353,-2.7908247842521714,0.0,0.0,0.0,0.0,0.0,0.0,1.53785771743262e-12,1.870946623064398e-12,2.580898520464978,1.5548336891457544,8.617938086947788,0.0015091154662850619,0.004824184613758803,0.0006132726078239192,0.005374818351395244,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:20Z,39.65478052182203,-77.70833841304771,142.93873296987587,19.985625693882977,6.689858495116901,-0.7255990847661593,1.6023285386692474,-0.27738662523306595,-2.8928823199886353,0.0,0.0,0.0,0.0,0.0,0.0,1.893670086092329e-12,3.292722707124451e-12,2.790912510392642,2.0912550486356363,13.41896769676463,0.00020323366100428387,0.00535370015142605,0.0005179014904726653,0.005549216969957843,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:21Z,39.65496258985825,-77.70825997018515,142.92804064731322,21.105879488944115,7.3133435233021915,-0.572876829555513,1.6627820431281184,-0.20429158211639178,-2.888901578799573,0.0,0.0,0.0,0.0,0.0,0.0,2.4688034779439408e-12,6.1103463755273414e-12,2.9085238857594344,3.0692306701463408,20.274122691668573,0.0019475765056537616,0.006139375245702835,0.0006353478189770149,0.005567896456509071,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:22Z,39.655156062116156,-77.70818289977234,143.05340665758834,22.188094047149132,6.966155522549625,-0.4185727705505712,1.6316068812988547,-0.1511332857836069,-2.8376777900409724,0.0,0.0,0.0,0.0,0.0,0.0,3.2882347877649268e-12,1.0848560789155188e-11,2.7551317529210917,4.365673906515999,27.62026717655901,0.0010154532088861349,0.006125638297985464,0.0008322884049285548,0.005790333673545046,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:23Z,39.655359406526564,-77.70810421013564,143.13364203012367,23.04953720258466,6.829539414851587,-0.31617100521479674,1.5992834304445487,-0.11309524485941976,-2.812515871917912,0.0,0.0,0.0,0.0,0.0,0.0,4.408160373569423e-12,1.8875592567056394e-11,2.8906251772379057,5.979352473965588,37.0429235783252,0.0002476644891818383,0.006446753677783177,0.0010429995616509276,0.0060058939975650896,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:24Z,39.65556791627291,-77.708021213763,143.29000404903846,23.6368080595816,6.991476123112058,-0.2435850067104035,1.5845345424660788,-0.08388872750804667,-2.808424090368756,0.0,0.0,0.0,0.0,0.0,0.0,5.9302645839439324e-12,3.145306575711506e-11,2.642966052133757,7.767506614260469,48.86210245705663,0.00041633577855057497,0.006859054766848122,0.0011290785374685763,0.006339095402170271,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:25Z,39.65578284133776,-77.70794064309105,143.35073464514673,24.096451869452263,7.164889998166517,-0.19145890922364614,1.5816969342117082,-0.06014818401243853,-2.813850546526933,0.0,0.0,0.0,0.0,0.0,0.0,7.984165072199466e-12,4.804848203897418e-11,2.787500184550443,9.3307271464395,59.900368814255636,0.0006830227874888547,0.00693988052634465,0.0010808625343789195,0.006480487696688966,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:26Z,39.65600038678588,-77.70786183720548,143.43087433988637,24.469356223449687,7.304256054962827,-0.15513237930498947,1.586700156322344,-0.03967824570586336,-2.820239108660467,0.0,0.0,0.0,0.0,0.0,0.0,1.0472843649414366e-11,6.99210011622683e-11,2.748409946805874,10.636099646215245,71.34177889688205,0.000666360113437575,0.007020804661704719,0.0009693248859130259,0.006704301677931888,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:27Z,39.656220869780206,-77.70778502859783,143.54387717884998,24.777525264756967,7.346085793384826,-0.12618275484562244,1.5899758385544782,-0.023566642444498284,-2.8248232916743206,0.0,0.0,0.0,0.0,0.0,0.0,1.3301284259637334e-11,9.732297983227172e-11,2.626454090486583,11.780161769147034,82.26192977800105,0.000614673534721113,0.006950415100823231,0.0008770197684786724,0.006791121041671115,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:28Z,39.65644267734243,-77.7077008344482,143.64248390753082,25.009658682783176,7.4239169537786465,-0.10332067722837979,1.5908895932639457,-0.010112759606866709,-2.8265766341259644,0.0,0.0,0.0,0.0,0.0,0.0,1.7210516640178294e-11,1.3531955216023003e-10,2.8314083880938017,13.430182621334819,97.08287207026999,0.0006282434704758355,0.007135131355427688,0.0008383831076739079,0.0067845665858846885,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:29Z,39.65666975582153,-77.7076222677281,143.72389655346214,25.2527429915696,7.459686323056516,-0.09198891804729835,1.5916428029637422,0.00135950724077172,-2.8273470204356563,0.0,0.0,0.0,0.0,0.0,0.0,2.214044014924061e-11,1.8606627170326638e-10,2.7945715717299495,15.273797874927926,115.75152217299578,0.0006030572721721644,0.007534913909958898,0.0008041493007583062,0.006728769835153494,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:30Z,39.6569005262326,-77.70754575817297,143.81590990894296,25.417290946650123,7.620991520158461,-0.07539666460492721,1.59152909396987,0.009522953413770505,-2.8274774147071646,0.0,0.0,0.0,0.0,0.0,0.0,2.8216534197320797e-11,2.511090275761157e-10,2.7074393278113504,17.773273861893927,135.1846392574985,0.0011412294854087437,0.007656023614372791,0.0008646405612431026,0.0066918708684606185,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:31Z,39.65713084561695,-77.70745739187342,143.7495068554563,25.6073326221461,7.8636144322846615,-0.07479795672318333,1.5918827415180785,0.01667079022856363,-2.823880836065339,0.0,0.0,0.0,0.0,0.0,0.0,3.573369998220963e-11,3.3406216750941075e-10,2.6712660057136675,21.138433618807717,158.69589300839016,0.0024959170060674927,0.007988586717767698,0.0009941579482255418,0.006648211192542727,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:32Z,39.6573616380587,-77.70736749787642,143.77843403141387,25.739010366082105,7.8537029860821175,-0.06380257297158427,1.592939245665729,0.022193165139454792,-2.815628952639735,0.0,0.0,0.0,0.0,0.0,0.0,4.5504085781423176e-11,4.4056122275477405e-10,2.5620916723193505,25.606523181288697,182.84036968591576,0.002144693960147408,0.007881780316793326,0.0012057708224827283,0.00671950299644532,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:33Z,39.65760047078624,-77.70730261777592,143.9142820294055,25.993341893455938,7.3028025540511114,-0.05455266051661801,1.5890036164466348,0.027061581678434227,-2.8029348613685436,0.0,0.0,0.0,0.0,0.0,0.0,5.5986899392375513e-11,5.51923248588363e-10,2.6506196166092133,29.6907324014007,201.5068996343468,0.0008780447871125139,0.00756114905697131,0.0013693237222409018,0.006538836654528665,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:34Z,39.65784108452675,-77.70724804065507,144.01041385977842,26.255258143830858,6.495223114971749,-0.04408327629024293,1.5879373735241793,0.0303253460327845,-2.7991460276641176,0.0,0.0,0.0,0.0,0.0,0.0,6.83773756527324e-11,6.848443292340999e-10,2.717445327978728,33.3175927358111,223.43024798723758,0.004459861393685035,0.007587850059563711,0.0014276053398596716,0.006500919455182604,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:35Z,39.65807762445822,-77.70717563652141,144.06849522937745,26.369433286799744,6.546660548488778,-0.029192472033549348,1.5896683891149588,0.035478375169203394,-2.798128504381781,0.0,0.0,0.0,0.0,0.0,0.0,8.326281493794986e-11,8.409456220323888e-10,2.766937528816029,35.75141670799636,244.95139680638852,0.003622569042887226,0.0072503326149492755,0.0012585029849565093,0.006482825485324635,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:36Z,39.6583157068565,-77.70709709199883,144.06891476538175,26.54655771235496,6.54347520753587,-0.023509707919579962,1.593564536491427,0.03975897736930417,-2.7893408223351637,0.0,0.0,0.0,0.0,0.0,0.0,9.991534269222418e-11,1.022741371778544e-9,2.953785821814295,37.58754227552589,268.0515245481465,0.0037443676145593146,0.007118577890491557,0.0010771919608132958,0.0064417599906895434,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:37Z,39.65855743969956,-77.70702832321732,144.13066188898824,26.845933548464256,6.359903287824594,-0.01271809745128339,1.598009700742197,0.041563017520572336,-2.753691916707926,0.0,0.0,0.0,0.0,0.0,0.0,1.2098975034968568e-10,1.25389931147496e-9,2.9047337924488,40.73140985187281,298.8376547993899,0.005169052962064948,0.0072012419586086635,0.0010239946675692235,0.006287835812059022,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:38Z,39.65880850889058,-77.7069719602539,144.10216803237648,27.542314451212814,5.79907957061607,0.006756635138179563,1.6066601522379758,0.039981147444642484,-2.625550582243348,0.0,0.0,0.0,0.0,0.0,0.0,1.4578966520954982e-10,1.5284313746737667e-9,3.0139373741510416,42.47177248492115,329.49696147832015,0.01359056156776825,0.0070697213150252005,0.000860698037242207,0.006243923645449311,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:39Z,39.65906840575189,-77.70692878479652,144.1586711921117,28.18292238297991,5.219082083501102,0.013317124925295253,1.6077308356772426,0.02745060993896318,-2.4367164813819246,0.0,0.0,0.0,0.0,0.0,0.0,1.741747113373785e-10,1.8570956698980401e-9,2.9659930494082665,41.63610872514672,359.4355712120427,0.019057840303112746,0.006404532709264121,0.000527822371013465,0.006168725288206801,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:40Z,39.659318020226756,-77.70686038839087,144.1926584783886,28.74177495621645,4.269873903626961,-0.015387608019871404,1.6026197756354306,0.013202722062102205,-2.368444692887511,0.0,0.0,0.0,0.0,0.0,0.0,2.0110591312255343e-10,2.2118255240834467e-9,2.734605427213722,38.57477062516094,381.13073513753193,0.0333636562828699,0.005419399072003939,0.00030236363832525864,0.006203715718354142,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:41Z,39.659573222058775,-77.70680344530592,144.27336827822108,28.773441603514645,3.2538129300977157,0.012502740975313741,1.5894594535010713,-0.007388967523230788,-2.4948790340003844,0.0,0.0,0.0,0.0,0.0,0.0,2.2486203547421417e-10,2.580035543287639e-9,2.8132741348770463,32.868316474790525,385.7371342454834,0.03690965489821641,0.0035354204942901874,0.0003260577005360026,0.006413926146867531,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:42Z,39.6598213184371,-77.7067396908732,144.33753744030645,28.416971355953336,2.193622941522042,0.008067772960933278,1.5827591776152123,-0.014624041524945754,-2.703254807799559,0.0,0.0,0.0,0.0,0.0,0.0,2.452798011408025e-10,2.910405066956107e-9,2.837130122885033,28.644822661203268,369.42304600330834,0.03085043683217642,0.0016700028489896243,0.0004844921190730873,0.006608345986119752,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:43Z,39.660075255045356,-77.70671261565715,144.40691106095068,28.570623445445968,1.0560010346717121,-0.0019810426357275124,1.582167740396617,-0.012273124533856991,-2.8188916257893415,0.0,0.0,0.0,0.0,0.0,0.0,2.669527553240406e-10,3.2687365663924543e-9,3.055981827424086,27.229698852076957,350.1848163142775,0.016794762678074632,0.0005373869334952671,0.0005402104273984379,0.006854572311056395,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:44Z,39.66033362557952,-77.70670275610775,144.58307650362522,28.884393402938432,-0.02306897968022059,0.0011454921573667005,1.5799064907354285,-0.01536693113813615,-2.828725255522673,0.0,0.0,0.0,0.0,0.0,0.0,2.911127960535699e-10,3.637187412068796e-9,2.718224118592363,26.200559851129427,333.88325441260855,0.0071795044430612714,0.00016304605031002112,0.0006459569175622698,0.006875483671037601,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:45Z,39.66058770226867,-77.706692158509,144.76227440478556,29.176048136721082,-0.9025741041214541,0.013227286516318236,1.5797354819269278,-0.012367108416630069,-2.832357755411388,0.0,0.0,0.0,0.0,0.0,0.0,3.06538127197916e-10,3.943046867375183e-9,2.7222722569053888,24.6252448103917,314.5237247103177,0.002653602635908153,0.00009695603455354234,0.0007673846039934992,0.00683553863222972,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-28T20:23:46Z,39.660845702245396,-77.70668880392786,144.95752912669147,29.49765166826966,-1.6288959428142025,-0.0017333420108587997,1.5784281189448142,-0.01393854635153214,-2.830202933942566,0.0,0.0,0.0,0.0,0.0,0.0,3.256529825386788e-10,4.317284899350871e-9,2.7427398890106547,24.248391153201737,303.71687552769333,0.0011320891905770383,0.00011299423382506056,0.0009073505074129807,0.0068677750121471405,NaN,NaN,NaN,NaN,NaN,NaN
