trajectory,geo_rmse,geo_mean,geo_median,geo_std,geo_max,geo_min,baseline_rmse,baseline_mean,baseline_median,baseline_std,baseline_max,baseline_min,diff_rmse,diff_mean,diff_median
2025-07-04_17-24-46,3641.164447913831,2639.848585051915,1852.988417198564,2507.843293499622,12974.602860483556,6.231181855790479,946718.0066508964,796217.9231716763,804588.7532366156,512164.0390902404,1820389.9093905631,6.544153205064951,-943076.8422029825,-793578.0745866244,-802735.764819417
2023-08-06_14-48-05,2553.9169238055747,1938.1299080431345,1464.0815671190526,1663.172905397765,8789.961367673452,8.029786068606361,2129308.290506716,1805934.5062756462,1882807.7596816272,1128075.5094689229,3840406.7391789393,18.817368012316,-2126754.3735829103,-1803996.376367603,-1881343.678114508
2025-07-05_20-59-22,1298.6144720807833,929.8069556111684,653.2468058293571,906.5641579032025,6095.7530932607915,1.2658991530639525,1726478.193797513,1457645.665829476,1769552.221033729,925200.554770081,2506138.0717992885,1.4962558086288262,-1725179.5793254322,-1456715.8588738649,-1768898.9742278995
2025-09-27_12-54-35,5176.385616947843,3838.684959801479,3080.889875199206,3472.6741619015193,56425.51924472245,10.404648338926535,2343809.986740099,1950477.7570309832,1891729.4459731784,1299646.7878889279,4157261.338742018,15.929244264164735,-2338633.601123151,-1946639.0720711818,-1888648.5560979792
2025-11-09_17-34-01,5632.1333153393825,3254.5763301434017,1996.5404290401116,4596.59206293381,34347.66381665209,5.453689288840889,1694414.6443315966,1289419.982596178,934880.4644087822,1099289.3592712716,4142138.052269812,24.162642874080397,-1688782.511016257,-1286165.4062660346,-932883.9239797421
2023-08-09_16-37-41,1268.2322996071537,974.4954153088237,780.308446750831,811.647615230238,5690.925162023894,4.971585207491726,61764.9545366671,35892.408600686984,9545.423269770014,50265.739960313775,150070.43625520848,21.140961231405388,-60496.72223705995,-34917.91318537816,-8765.114823019183
2023-08-09_12-47-42,9147.636475231238,5224.724852151101,1444.4092155566582,7508.761768913411,31299.02755320675,3.592263286832512,676329.6617565886,581823.5257245683,651207.8666501367,344823.4276919335,1038329.0457744409,21.619696716127272,-667182.0252813573,-576598.8008724172,-649763.45743458
2025-06-18_15-09-25,33133.865130172424,25784.661978875778,23371.457671801574,20808.753569101,79600.88953450121,6.924265772098388,197005.14059979713,178450.98644602584,192530.25552160598,83464.18908242106,297390.30963641446,14.334036830529719,-163871.2754696247,-152666.32446715006,-169158.7978498044
2025-07-31_23-36-03,4363.997094181465,2951.1097510667537,1900.314407515341,3214.8750948027514,18732.189293454812,1.507685367454685,3360362.222844661,2795978.0390070365,2469627.274120107,1864012.0906560349,6105056.019787539,14.800306399882738,-3355998.22575048,-2793026.92925597,-2467726.9597125915
2025-03-01_15-04-26,2858.1147314493046,1900.6063664593514,1086.6054719176384,2134.599554460207,9719.515904477315,7.57432470828015,77718.93194346213,68449.8795259548,70818.16733551612,36808.237872992126,136712.79005769728,15.543269000155965,-74860.81721201283,-66549.27315949545,-69731.56186359849
2025-06-18_16-52-32,9708.118414865934,7431.617156791779,6312.366633545347,6246.489381399534,29021.361595959763,12.023653417482707,1484622.9548756268,1327670.4550950765,1626380.778004938,664376.7611914714,2014394.2942800696,11.487660753833163,-1474914.8364607608,-1320238.8379382847,-1620068.4113713927
