timestamp,latitude,longitude,altitude,velocity_n,velocity_e,velocity_d,roll,pitch,yaw,covariance
1691186851,40.22614678363826,-75.38227481722677,-2560.4713203248793,22.26073295788358,-21.865898745542776,-6.824715308219667,-0.12911428149291493,-0.12066209431416894,-0.5538938383312059,
1691186852,40.22634819251828,-75.38253156619317,-2566.972697567681,22.262592062780875,-21.760033363933253,-6.178039177382994,-0.12708559397002114,-0.1197945003777584,-0.5484051148351573,
1691186853,40.22654957060596,-75.38278792482164,-2573.20917899664,22.25388125721559,-21.799400511472193,-6.294923680534984,-0.12689726549896393,-0.11856707568329956,-0.5516350383435181,
1691186854,40.22675081969028,-75.38304505431158,-2579.7847358417325,22.234029691057696,-21.890841213705343,-6.8561900096502875,-0.12418052332029511,-0.1151350132425726,-0.5489175008225615,
1691186855,40.226952208962054,-75.38330330321595,-2586.806120968057,22.284823119860846,-21.98942895651368,-7.186580242998148,-0.1254744064751296,-0.1157491111466972,-0.5500395066864967,
1691186856,40.22715395080292,-75.38356236878063,-2594.0188755906197,22.311918053120337,-22.029423748259283,-7.238929002127969,-0.1256773155273506,-0.1201496795911225,-0.5496089840499355,
1691186857,40.227355714988,-75.38382220277994,-2601.4999229372465,22.289710782817206,-22.11981423657511,-7.7231656911253594,-0.1232095104987878,-0.11730425703719159,-0.5476221871589572,
1691186858,40.2275572944381,-75.38408331914309,-2609.596277233271,22.27102606448697,-22.24712796707917,-8.469542900923098,-0.1228103993123968,-0.11237268835644425,-0.5474600666798856,
1691186859,40.22775861825841,-75.38434572850643,-2618.293090689965,22.23314279769791,-22.339319919096667,-8.924084012464741,-0.12469132785023226,-0.10889568582719238,-0.5525778618483999,
1691186860,40.227959752966484,-75.38460890211591,-2627.277542508262,22.22915926656106,-22.37678767068896,-9.04481962412916,-0.1254510505109542,-0.10602605588565886,-0.5496276839830821,
1691186861,40.2281609654265,-75.38487187120934,-2636.071677524697,22.25026798278884,-22.304375615271955,-8.543450408740739,-0.12690432196521334,-0.10613825834231679,-0.5500687169237927,
1691186862,40.22836244129721,-75.3851346113827,-2644.5086990343693,22.28732744913648,-22.337698527362665,-8.330592610603627,-0.12735347735409291,-0.10893190736826294,-0.5479169685838584,
1691186863,40.22856419728854,-75.38539754157394,-2652.7478621340338,22.31213181670909,-22.336470141043026,-8.147733588724861,-0.1268499323309549,-0.11260046942832971,-0.5488478349113194,
1691186864,40.22876644969385,-75.38566070146265,-2660.857098006387,22.397005204585895,-22.376535396163785,-8.07073815598123,-0.12497776702961438,-0.12018547541538455,-0.5486467390395448,
1691186865,40.22896910266417,-75.38592437015545,-2668.981338708876,22.400621809977306,-22.422729138818795,-8.177743248996931,-0.12470920632497177,-0.12493199807621694,-0.5489202258851777,
