timestamp,latitude,longitude,altitude,velocity_n,velocity_e,velocity_d,roll,pitch,yaw,position_error_lat,position_error_lon,position_error_alt,velocity_error_n,velocity_error_e,velocity_error_d,attitude_error_roll,attitude_error_pitch,attitude_error_yaw,covariance
2023-08-04 21:47:58+00:00,40.10469331426311,-75.2952130656656,19.209774887863908,0.0,0.0,0.0,2.6054103672504425,-1.5448384508490547,3.119176596403122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:47:59+00:00,40.10469327934144,-75.29521322881877,19.207004354415822,-0.007755193026393952,-0.027783379076145493,-0.005541066896169228,2.6217606807613567,-1.544955691588584,3.1029265083423994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:00+00:00,40.104693180444904,-75.29521370316759,19.197215025049402,-0.014207152819627956,-0.05303216580408848,-0.014037591836671741,2.620893392269408,-1.545207167835856,3.1036460855777053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:01+00:00,40.10469301568146,-75.29521444566346,19.17759966278863,-0.022382516569725102,-0.0734812712794146,-0.02519313268487411,2.613317854230665,-1.5453716513493023,3.111319710476164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:02+00:00,40.104692766119975,-75.29521544668395,19.150100034159415,-0.03303859126716596,-0.09708478051671364,-0.029806124573554485,2.61671621254992,-1.5459577316806075,3.107559483562184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:03+00:00,40.1046924767594,-75.29521676032432,19.11642017786003,-0.03122085485737556,-0.12675015844067455,-0.03755358802521562,2.6288760278316428,-1.5459591426370738,3.095583404803063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:04+00:00,40.104692137163354,-75.29521833787607,19.073281070780823,-0.04419458304107607,-0.14206751398643278,-0.04872462613319388,2.6154120863343735,-1.546509954357471,3.1091025486810335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:05+00:00,40.104691669062305,-75.2952201072056,19.022056132903426,-0.05975846769074369,-0.15942931264397286,-0.05372524962159623,2.628560496751608,-1.5467629566345182,3.0961077503851997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:06+00:00,40.104691096783064,-75.29522211795828,18.96431566926214,-0.06732984624264376,-0.18320362623790096,-0.06175567766097275,2.630409450307797,-1.546831090392867,3.0939246861454093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:07+00:00,40.10469044068654,-75.29522441827545,18.898121469190283,-0.07837210162651302,-0.20877233585324093,-0.07063272248274739,2.636070444510504,-1.5471981593439028,3.088217663578116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:08+00:00,40.1046896555325,-75.29522692689913,18.823011862878182,-0.0959901548655274,-0.2187117010354936,-0.07958649014145272,2.6439770809812773,-1.5480575394172245,3.080032249008551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:09+00:00,40.10468882081071,-75.29522973201755,18.738399920385483,-0.08937980940753933,-0.2592762856846059,-0.08963739484394828,2.641757078592816,-1.548367871099085,3.082153772141057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:10+00:00,40.1046880148841,-75.29523297339945,18.645227335475596,-0.08959548957099833,-0.29305944597041234,-0.09670777497582182,2.6612915309924148,-1.5481032288193868,3.0628780783733633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:11+00:00,40.10468715127203,-75.29523654704336,18.543781759237085,-0.10219024439631369,-0.3159041797638851,-0.10618337750120314,2.6569814954316207,-1.5482610835874862,3.067684622569776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:12+00:00,40.10468614784402,-75.29524030364801,18.432438073040082,-0.12064496183073423,-0.32424760159275534,-0.1165039948928061,2.6609007098106714,-1.5485014392109278,3.063823577444482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:13+00:00,40.104685379462744,-75.2952445098102,18.30784635585297,-0.049992490614912344,-0.3924709956272914,-0.13267943948141844,2.664748981931851,-1.5488229587547981,3.060532682458765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:14+00:00,40.10468541059414,-75.29524959097192,18.169336541007045,0.05690596225223166,-0.473346201571212,-0.14434019021043223,2.668523381362052,-1.5498830123379141,3.0562890422593956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:15+00:00,40.10468591015333,-75.29525535194634,18.02528958333702,0.05403310528725459,-0.5083487598339841,-0.14375372512961385,2.701285893678129,-1.5504327655916357,3.022547541327618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-08-04 21:48:16+00:00,40.104686850356735,-75.29526191537619,17.881363573138028,0.15476154724758617,-0.6100450626375615,-0.1440982952683737,2.7727723294318265,-1.5499066562502337,2.950483013892473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
