time,lat_deg,lon_deg,alt_m,vel_n_mps,vel_e_mps,vel_d_mps,roll_deg,pitch_deg,yaw_deg,dt_s
2023-08-04 21:47:58+00:00,40.10469331,-75.29521307,19.2098,0.000000,0.000000,0.000000,149.279018,-88.512723,178.715655,0.000000
2023-08-04 21:47:59+00:00,40.10466901,-75.29526137,19.2095,-5.396839,-8.224971,-0.000597,150.215822,-88.519441,177.784593,1.000000
2023-08-04 21:48:00+00:00,40.10459611,-75.29540618,19.2081,-10.791967,-16.446414,-0.002184,150.169085,-88.533895,177.822909,1.000000
2023-08-04 21:48:01+00:00,40.10447462,-75.29564745,19.2037,-16.187806,-24.662438,-0.006498,149.740964,-88.543412,178.256733,1.000000
2023-08-04 21:48:02+00:00,40.10430452,-75.29598515,19.1988,-21.587540,-32.879372,-0.003391,149.945017,-88.577128,178.032072,1.000000
2023-08-04 21:48:03+00:00,40.10408584,-75.29641931,19.1958,-26.975613,-41.100490,-0.002580,150.654097,-88.577383,177.333686,1.000000
2023-08-04 21:48:04+00:00,40.10381857,-75.29694987,19.1922,-32.377417,-49.306590,-0.004649,149.898635,-88.609182,178.092520,1.000000
2023-08-04 21:48:05+00:00,40.10350265,-75.29757675,19.1902,-37.780140,-57.514436,0.000588,150.671822,-88.623932,177.328385,1.000000
2023-08-04 21:48:06+00:00,40.10313812,-75.29829998,19.1924,-43.174349,-65.727612,0.003824,150.800275,-88.628145,177.181082,1.000000
2023-08-04 21:48:07+00:00,40.10272499,-75.29911961,19.1976,-48.570511,-73.942128,0.006720,151.152223,-88.649518,176.826830,1.000000
2023-08-04 21:48:08+00:00,40.10226323,-75.30003554,19.2070,-53.973311,-82.139489,0.012016,151.640625,-88.699126,176.322830,1.000000
2023-08-04 21:48:09+00:00,40.10175293,-75.30104784,19.2218,-59.352332,-90.365666,0.017621,151.549588,-88.717350,176.408641,1.000000
2023-08-04 21:48:10+00:00,40.10119415,-75.30215662,19.2440,-64.737425,-98.584022,0.026635,152.706297,-88.702569,175.267217,1.000000
2023-08-04 21:48:11+00:00,40.10058684,-75.30336179,19.2740,-70.130591,-106.792713,0.033498,152.501627,-88.712146,175.500835,1.000000
2023-08-04 21:48:12+00:00,40.09993094,-75.30466319,19.3105,-75.527752,-114.986542,0.039389,152.774987,-88.726441,175.231349,1.000000
2023-08-04 21:48:13+00:00,40.09922681,-75.30606107,19.3503,-80.839742,-123.236023,0.040188,153.050378,-88.745423,174.988476,1.000000
2023-08-04 21:48:14+00:00,40.09847488,-75.30755569,19.3931,-86.145663,-131.476531,0.045487,153.342520,-88.806743,174.670069,1.000000
2023-08-04 21:48:15+00:00,40.09767464,-75.30914670,19.4461,-91.566593,-139.666032,0.060575,155.302347,-88.838539,172.654816,1.000000
2023-08-04 21:48:16+00:00,40.09682601,-75.31083415,19.5145,-96.891422,-147.915499,0.076231,159.468529,-88.808162,168.456226,1.000000
2023-08-04 21:48:17+00:00,40.09592977,-75.31261860,19.6406,-102.139296,-156.201041,0.175982,173.318119,-87.330888,154.569931,1.000000
2023-08-04 21:48:18+00:00,40.09498568,-75.31449989,19.9559,-107.517817,-164.424670,0.454628,-179.173692,-81.026577,147.240609,1.000000
2023-08-04 21:48:19+00:00,40.09399340,-75.31647774,20.7459,-112.841975,-172.663329,1.125190,-178.201520,-66.099495,146.316980,1.000000
2023-08-04 21:48:20+00:00,40.09295008,-75.31854984,22.2237,-118.853107,-180.492241,1.830491,-178.511944,-42.566201,146.106761,1.000000
2023-08-04 21:48:21+00:00,40.09185085,-75.32071154,24.1520,-125.256709,-187.941768,2.026061,-178.835486,-15.755133,145.721262,1.000000
2023-08-04 21:48:22+00:00,40.09069712,-75.32296335,25.9456,-130.956582,-195.855868,1.561146,-179.096851,2.114490,146.305981,1.000000
2023-08-04 21:48:23+00:00,40.08949525,-75.32531095,27.1695,-135.945876,-204.276781,0.886794,-179.440057,6.243640,146.573305,1.000000
2023-08-04 21:48:24+00:00,40.08824926,-75.32775806,27.7198,-140.756800,-212.822247,0.213735,-179.574557,3.039008,147.149677,1.000000
2023-08-04 21:48:25+00:00,40.08695889,-75.33030452,27.3952,-145.798584,-221.219337,-0.863031,-179.905881,0.242398,147.422287,1.000000
2023-08-04 21:48:26+00:00,40.08562233,-75.33294886,26.1820,-151.017566,-229.515843,-1.563289,179.912747,-1.093761,147.177004,1.000000
2023-08-04 21:48:27+00:00,40.08423833,-75.33569022,24.2879,-156.331973,-237.766400,-2.224956,179.605940,-1.708689,147.190517,1.000000
2023-08-04 21:48:28+00:00,40.08280611,-75.33852760,21.7623,-161.725480,-245.892026,-2.826155,179.891736,-1.814494,147.057192,1.000000
2023-08-04 21:48:29+00:00,40.08132492,-75.34146025,18.5327,-167.207487,-254.016440,-3.633056,179.610051,-0.777222,147.138941,1.000000
2023-08-04 21:48:30+00:00,40.07979466,-75.34448825,14.4686,-172.621359,-262.157351,-4.495210,179.638910,0.115417,146.958402,1.000000
2023-08-04 21:48:31+00:00,40.07821621,-75.34761227,9.4517,-177.909975,-270.397050,-5.538521,179.494470,0.363629,147.283346,1.000000
2023-08-04 21:48:32+00:00,40.07659004,-75.35083291,3.4359,-183.217257,-278.641277,-6.493117,179.408629,0.346486,147.130402,1.000000
2023-08-04 21:48:33+00:00,40.07491623,-75.35414980,-3.3800,-188.490011,-286.817872,-7.138591,179.579283,0.259499,146.716068,1.000000
2023-08-04 21:48:34+00:00,40.07319480,-75.35756268,-10.5290,-193.790164,-295.018983,-7.159552,179.750154,0.063832,146.939963,1.000000
2023-08-04 21:48:35+00:00,40.07142558,-75.36107173,-17.8819,-199.103262,-303.228024,-7.546154,179.628571,-0.171705,146.870255,1.000000
2023-08-04 21:48:36+00:00,40.06960845,-75.36467670,-25.6964,-204.429826,-311.389086,-8.082823,179.301576,-0.362679,147.034360,1.000000
2023-08-04 21:48:37+00:00,40.06774352,-75.36837716,-34.1012,-209.716946,-319.523655,-8.726830,179.056601,-0.558877,146.815934,1.000000
2023-08-04 21:48:38+00:00,40.06583103,-75.37217271,-42.9221,-214.990838,-327.618509,-8.915078,179.187926,-0.665454,146.624438,1.000000
2023-08-04 21:48:39+00:00,40.06387106,-75.37606344,-51.0815,-220.259464,-335.769991,-7.403617,179.667594,-0.761992,146.674833,1.000000
2023-08-04 21:48:40+00:00,40.06186423,-75.38005031,-57.5165,-225.396366,-344.029303,-5.466331,-179.682278,-2.406741,146.729798,1.000000
2023-08-04 21:48:41+00:00,40.05981312,-75.38413687,-62.0988,-230.093035,-352.788606,-3.698385,-179.795487,-11.364566,147.149465,1.000000
2023-08-04 21:48:42+00:00,40.05772224,-75.38832665,-65.6996,-234.226966,-361.652884,-3.503235,179.989451,-33.256004,147.801831,1.000000
2023-08-04 21:48:43+00:00,40.05558863,-75.39261616,-69.9061,-239.582544,-369.814950,-4.909599,178.004304,-59.481059,148.942803,1.000000
2023-08-04 21:48:44+00:00,40.05340283,-75.39699736,-75.0298,-245.814471,-377.313166,-5.337929,170.809515,-77.274374,155.853503,1.000000
2023-08-04 21:48:45+00:00,40.05115757,-75.40146337,-80.0478,-252.787919,-384.302296,-4.698011,156.682365,-86.181070,169.679668,1.000000
2023-08-04 21:48:46+00:00,40.04884921,-75.40601114,-84.3240,-259.824830,-391.280710,-3.854447,148.658858,-87.317216,177.699297,1.000000
2023-08-04 21:48:47+00:00,40.04648495,-75.41064715,-87.8157,-265.202030,-399.376668,-3.128900,140.636197,-87.699666,-173.785622,1.000000
2023-08-04 21:48:48+00:00,40.04407849,-75.41538369,-90.6134,-269.197032,-408.453098,-2.466515,139.911256,-87.774489,-172.482545,1.000000
2023-08-04 21:48:49+00:00,40.04163502,-75.42022531,-92.7250,-273.417928,-417.329244,-1.756662,156.818110,-86.073764,170.825329,1.000000
2023-08-04 21:48:50+00:00,40.03915071,-75.42516725,-94.1287,-278.267582,-425.592059,-1.050838,171.162522,-82.821872,157.618402,1.000000
2023-08-04 21:48:51+00:00,40.03662042,-75.43020455,-94.8003,-283.628397,-433.627171,-0.292251,179.125353,-78.587191,149.984236,1.000000
2023-08-04 21:48:52+00:00,40.03403947,-75.43533237,-94.5806,-289.514850,-441.065111,0.731670,-177.123355,-70.995636,147.138178,1.000000
2023-08-04 21:48:53+00:00,40.03140248,-75.44054648,-93.6305,-296.073981,-448.380240,1.168526,-176.100843,-63.281154,145.124228,1.000000
2023-08-04 21:48:54+00:00,40.02870606,-75.44584554,-92.4841,-302.713051,-455.593609,1.124223,-176.126819,-56.289961,144.954763,1.000000
2023-08-04 21:48:55+00:00,40.02594951,-75.45122917,-91.4721,-309.426995,-462.842540,0.899809,-176.546265,-48.159178,144.841453,1.000000
2023-08-04 21:48:56+00:00,40.02313156,-75.45669616,-90.9566,-316.345571,-469.851842,0.131178,-177.480790,-37.471121,145.456823,1.000000
2023-08-04 21:48:57+00:00,40.02025310,-75.46224668,-91.2387,-322.865853,-477.135065,-0.695369,-177.294342,-25.887624,145.623329,1.000000
2023-08-04 21:48:58+00:00,40.01731642,-75.46788430,-92.4110,-329.273967,-484.751810,-1.649186,-178.772151,-11.497248,145.245587,1.000000
2023-08-04 21:48:59+00:00,40.01432797,-75.47361453,-94.6017,-334.360331,-492.976958,-2.732372,-179.473868,-1.013567,146.071289,1.000000
2023-08-04 21:49:00+00:00,40.01129864,-75.47944552,-97.8265,-338.353691,-501.987910,-3.717240,-179.777873,1.636005,146.600108,1.000000
2023-08-04 21:49:01+00:00,40.00823429,-75.48538165,-101.9537,-342.135038,-510.962445,-4.537007,-179.792473,1.174680,146.501942,1.000000
2023-08-04 21:49:02+00:00,40.00513421,-75.49142188,-106.9839,-346.287109,-519.797343,-5.523523,-179.933822,1.107897,146.627036,1.000000
2023-08-04 21:49:03+00:00,40.00199691,-75.49756549,-112.8350,-350.398327,-528.650023,-6.178675,-179.678684,-0.805811,146.743006,1.000000
2023-08-04 21:49:04+00:00,39.99882087,-75.50381164,-119.4160,-354.889035,-537.345090,-6.983342,-179.690800,-2.559027,147.150937,1.000000
2023-08-04 21:49:05+00:00,39.99560210,-75.51015732,-126.9187,-359.887685,-545.686760,-8.021963,-179.892668,-2.561687,146.849197,1.000000
2023-08-04 21:49:06+00:00,39.99233706,-75.51659907,-135.5787,-365.161564,-553.792905,-9.298092,-179.747929,-1.066222,147.287911,1.000000
2023-08-04 21:49:07+00:00,39.98902580,-75.52313700,-145.4280,-370.150464,-562.153938,-10.400432,-179.918122,-0.972455,147.272988,1.000000
2023-08-04 21:49:08+00:00,39.98566956,-75.52977267,-156.0370,-375.149257,-570.530207,-10.817582,179.660844,-1.503171,147.926633,1.000000
2023-08-04 21:49:09+00:00,39.98226797,-75.53650549,-167.0356,-380.216644,-578.790407,-11.179691,179.340346,-2.196138,147.696036,1.000000
2023-08-04 21:49:10+00:00,39.97882051,-75.54333403,-178.1943,-385.336595,-586.928276,-11.137636,179.571491,-2.494470,147.330035,1.000000
2023-08-04 21:49:11+00:00,39.97532674,-75.55025788,-188.9255,-390.496242,-595.118669,-10.324856,179.349556,-2.524185,147.153630,1.000000
