trajectory,geo_rmse,geo_mean,geo_median,geo_std,geo_max,geo_min,baseline_rmse,baseline_mean,baseline_median,baseline_std,baseline_max,baseline_min,diff_rmse,diff_mean,diff_median
2025-07-11_13-33-16,2515.7843816313234,1932.5134691957994,1312.3328346702947,1610.7646464449472,7516.098727945162,12.58069462953669,6594.402361562387,4084.6457473822375,2264.5990564487656,5177.046612169122,56579.81596226412,6.176998833543902,-4078.617979931064,-2152.1322781864383,-952.2662217784709
2025-06-11_20-34-24,3391.306628986182,2973.1295171629354,2700.832548148205,1631.3986410378413,6758.169364508052,10.65871479710223,8502.424602121448,5003.826718193278,2425.7658579956656,6874.077559138765,32057.176809474295,12.532228732101174,-5111.117973135266,-2030.6972010303425,275.06669015253965
2025-07-08_14-12-53,7930.448390438261,6342.686893760212,5224.286622717495,4760.497310274131,21686.36423959016,27.11985115005988,22323.32730876775,10366.587907807008,5063.133761558103,19770.300890074628,316997.51449442306,3.9323830462832134,-14392.87891832949,-4023.9010140467963,161.15286115939216
2025-11-16_16-08-14,2454.2512417024195,1758.9379816384203,1176.2132946412198,1711.5742268881083,10217.666606769473,15.977051183352144,3288.8972923905812,1869.3895804189456,950.155466851196,2705.9615659715446,34812.44902385723,3.3841544244355295,-834.6460506881617,-110.45159878052527,226.0578277900238
2025-03-01_16-46-39,4407.762481590519,2909.083235952495,1213.7898785694963,3311.4354622153173,13555.547031891683,10.854072211729784,7870.745332200748,4581.478809462021,2275.408382898195,6399.897186893732,52161.29095776226,1.9053698112410697,-3462.9828506102285,-1672.3955735095255,-1061.618504328699
2024-06-20_16-55-50,3933.7218180115756,2806.5955695969333,1828.7078244139616,2756.299811381041,12451.054915392095,4.394347676537785,4168.057303596316,2710.7242954213593,1674.8334183889515,3166.176792327771,26649.08368635482,2.6131309752434047,-234.33548558474058,95.87127417557394,153.8744060250101
2023-08-04_21-47-58,17887.96639875329,8936.56814890284,2316.7826483269587,15495.7120392366,84387.75410668958,14.187013086502702,12519.752014459998,4146.115426704967,966.6772209762148,11813.294094875242,121571.3820640501,5.964022962273904,5368.214384293293,4790.452722197872,1350.1054273507439
2025-09-28_20-23-16,4458.5980920903185,3348.713163869198,2245.649818432665,2943.674080621117,14194.990907232745,5.50969165351383,7602.286424300969,3718.281142890857,1462.33468358959,6630.923330844134,81553.17705878917,2.227331767957744,-3143.6883322106505,-369.5679790216591,783.3151348430752
2025-07-18_23-13-43,5005.521269354447,3673.5873891407978,2573.2119243363422,3399.9998341625624,15361.010675703272,14.058910254664577,2440.7692663107823,1514.393211835082,863.6416993282379,1914.1493701681436,14750.506720088706,8.13746415143188,2564.752003043665,2159.194177305716,1709.5702250081044
2025-08-03_18-15-59,6728.821008566451,3758.545319643832,1991.9642924945174,5581.251584143891,30711.079272314204,12.952675126390968,7205.680533472523,3944.8468284630444,1601.6347175938638,6029.926653818429,76120.9661129612,2.779950508758988,-476.8595249060718,-186.30150881921236,390.3295749006536
2025-07-04_17-24-46,3641.164447913831,2639.848585051915,1852.988417198564,2507.843293499622,12974.602860483556,6.231181855790479,2206.829042458751,1151.8340733798616,690.8855923243361,1882.3848411099582,22929.243721158364,4.691504558435353,1434.33540545508,1488.0145116720535,1162.102824874228
2023-08-06_14-48-05,2553.9169238055747,1938.1299080431345,1464.0815671190526,1663.172905397765,8789.961367673452,8.029786068606361,9218.167416545024,4994.13381932148,2099.948245207377,7748.111893497784,74308.27757093745,2.8237711124953186,-6664.250492739449,-3056.003911278345,-635.8666780883245
2025-07-05_20-59-22,1298.6144720807833,929.8069556111684,653.2468058293571,906.5641579032025,6095.7530932607915,1.2658991530639525,2139.3501172134893,1282.0525144927383,814.9817738640223,1712.6471539999757,21264.742431619703,1.854492305467779,-840.7356451327059,-352.2455588815699,-161.73496803466526
2025-09-27_12-54-35,5176.385616947843,3838.684959801479,3080.889875199206,3472.6741619015193,56425.51924472245,10.404648338926535,17142.591182586282,3692.8964162422703,1631.37588546946,16740.100014999614,1153739.5281149126,2.519017147458141,-11966.20556563844,145.78854355920885,1449.513989729746
2025-11-09_17-34-01,5632.1333153393825,3254.5763301434017,1996.5404290401116,4596.59206293381,34347.66381665209,5.453689288840889,4686.899342915196,2831.415026242344,1547.9841720744505,3734.98519405204,40140.966111371636,2.287730708183231,945.2339724241865,423.16130390105764,448.5562569656611
2023-08-09_16-37-41,1268.2322996071537,974.4954153088237,780.308446750831,811.647615230238,5690.925162023894,4.971585207491726,1764.0918875938232,986.9304528349431,583.4417467720893,1462.1861951001154,13488.312468665557,4.297584638830182,-495.85958798666957,-12.435037526119459,196.86669997874162
2023-08-09_12-47-42,9147.636475231238,5224.724852151101,1444.4092155566582,7508.761768913411,31299.02755320675,3.592263286832512,5238.001917073829,1622.9392702318166,607.78609127804,4980.234151966002,64418.2591020879,1.5043948770249655,3909.6345581574096,3601.7855819192846,836.6231242786182
