timestamp,latitude,longitude,altitude,latitude_ins,longitude_ins,altitude_ins,latitude_cov,longitude_cov,altitude_cov,effective_sample_size,horizontal_error_m,vertical_error_m,error_3d_m
2023-08-09 16:37:46+00:00,40.1821664442472,-75.08338494480779,50.20022253581648,40.1821731306089,-75.08334637109527,52.15208302275278,9.90066950430806e-07,1.0231056063562354e-06,124.32044365618574,4999.991120215184,19.731562791067272,20.450723688584503,28.41771752911662
2023-08-09 16:37:47+00:00,40.182218487288246,-75.08372056804907,23.83065805069895,40.18221812193708,-75.083626166643,36.82159039773978,1.0054573294033777e-06,1.0293964896296842e-06,146.57913991233468,4999.964199753535,49.12661132810158,47.25923418951995,68.1678748147707
2023-08-09 16:37:48+00:00,40.18228564348497,-75.08416117111466,-4.113943637511264,40.182269317506616,-75.08401130693638,25.7762780309422,1.0136577212977407e-06,1.0396880843681277e-06,169.73469413473893,4999.918950083834,86.3704013871068,74.85248162998184,114.29234550894785
2023-08-09 16:37:49+00:00,40.18236025236045,-75.08466457591413,-23.95579927751724,40.18230811960118,-75.08446293985503,28.771041234838776,1.0226271819637632e-06,1.052533364447633e-06,191.6388149023264,4999.855038133539,129.89067262865558,94.03420006588058,160.35590920809446
2023-08-09 16:37:50+00:00,40.18246900317844,-75.08514734462895,-32.653433211240426,40.18235331957863,-75.08489007138769,43.19335727440193,1.0328381574519617e-06,1.061983676524185e-06,216.845480928952,4999.772024936731,173.10252996379535,102.19391426477011,201.01761612510944
2023-08-09 16:37:51+00:00,40.18261704040482,-75.08554040343033,-36.77142962951709,40.18243420712775,-75.08524330314168,53.71331008011475,1.045587123539224e-06,1.0741191556800378e-06,239.5413684203347,4999.669326221082,209.51154248828377,105.46649872344145,234.5597339459644
2023-08-09 16:37:52+00:00,40.18285816102311,-75.08582043968465,-43.83029846993552,40.18271824215354,-75.08548822987332,55.31064287992194,1.0549048398933812e-06,1.084576754992362e-06,261.05583200023284,4999.5464723941805,240.05362740004105,112.08456768725664,264.9314899017422
2023-08-09 16:37:53+00:00,40.18332301616054,-75.08597264614677,-65.18443732828003,40.18356728586045,-75.0855392336773,42.38153448724188,1.065125826551991e-06,1.095565021483358e-06,286.4450463399732,4999.40214419536,274.7413155436192,133.67157698210772,305.53376402538896
2023-08-09 16:37:54+00:00,40.18367366222982,-75.08592262118788,-91.33121787616489,40.18330323176433,-75.08535752079665,36.6516863994766,1.075391151963008e-06,1.1036377673516777e-06,314.15026732419085,4999.236107630229,295.14559687199085,160.52114390127724,335.9731551661506
2023-08-09 16:37:55+00:00,40.18384549719309,-75.08570063674797,-120.78225028029286,40.182623995214655,-75.08516004478655,32.37113207532093,1.080092205272064e-06,1.1113363715465249e-06,338.36900023266134,4999.048985523535,296.223349819562,188.84652789879067,351.29942225650086
2023-08-09 16:37:56+00:00,40.18383194731332,-75.0853378286617,-155.59535444173605,40.18171788582752,-75.08487719724816,24.97766310814768,1.0831136721794233e-06,1.1219328124218832e-06,361.9554431844488,4998.841630517756,278.605694179244,223.2436619957855,357.0138168900287
2023-08-09 16:37:57+00:00,40.18360750539782,-75.08486220691384,-195.76149372739988,40.180470312630426,-75.08450025826775,16.032836610567756,1.0916835804307186e-06,1.1296454616763696e-06,389.53651333186167,4998.614595154681,240.638823421385,262.7498363904094,356.2927446087212
2023-08-09 16:37:58+00:00,40.1831532730632,-75.08431196100472,-241.0867110456253,40.17886334137423,-75.08408424913786,5.958202797250124,1.0991914799901338e-06,1.1381501060657482e-06,415.2129884342684,4998.369844804063,182.2470938153141,307.55687657334136,357.49858116036967
2023-08-09 16:37:59+00:00,40.18245716668976,-75.08373803456789,-290.06099769961986,40.17690234753952,-75.08371413742844,-3.666961575931055,1.109560759350453e-06,1.1526365990986246e-06,440.9057380521172,4998.108839766608,106.56371209022296,356.2483887547439,371.84504733127625
2023-08-09 16:38:00+00:00,40.18139096357531,-75.08321034810422,-339.8188376200653,40.17458980594431,-75.08313634819775,-8.091913498996291,1.1163097893199947e-06,1.159912483431676e-06,467.0154755734393,4997.835298375488,51.74179228940452,405.6510599638021,408.93764258023015
2023-08-09 16:38:01+00:00,40.18002847686106,-75.08284344410902,-387.8894516215065,40.17216805636107,-75.08299938381172,-10.50864746933803,1.1303365085561374e-06,1.1711760738435788e-06,493.8124243758506,4997.551458814007,166.47420849711446,453.7685087404937,483.34203378075057
2023-08-09 16:38:02+00:00,40.17849436875633,-75.08258943001496,-429.3399018351363,40.16985289674901,-75.0832520191022,-6.881303416535957,1.1430188525537985e-06,1.18591779310251e-06,517.0831041287066,4997.260351459278,320.748283682401,495.1023702407208,589.9201797728111
2023-08-09 16:38:03+00:00,40.17681651124629,-75.08240260541416,-460.43091857537473,40.16777622408912,-75.08359873124387,4.530856364639476,1.1528701454767373e-06,1.1998588145800954e-06,544.9351660363318,4996.965680862592,493.28816477673183,525.8618830495111,721.0159038143153
2023-08-09 16:38:04+00:00,40.175008545274224,-75.08220902524276,-484.6608072002439,40.16579597282286,-75.08379240821137,17.344939149916172,1.1658048567648135e-06,1.209803701254097e-06,574.9350047250006,4996.674713752403,682.0526615617978,549.7919220100231,876.0519337636368
2023-08-09 16:38:05+00:00,40.173086842581874,-75.08201051939638,-506.58572374252174,40.16371836759868,-75.08402285956102,24.19397112959996,1.1755763888772317e-06,1.218275360498195e-06,601.3551553409003,4996.390616433318,884.3807488055345,571.6463412632559,1053.0474102990354
2023-08-09 16:38:06+00:00,40.17111794282981,-75.08189270870892,-519.0416731684888,40.16137640624761,-75.084660705181,35.8261639890261,1.1909260665084254e-06,1.229927792923297e-06,625.6541442761797,4996.110053144825,1091.385205904333,583.8813265840699,1237.7556589248204
2023-08-09 16:38:07+00:00,40.16918195133174,-75.08191612045533,-520.7318198630877,40.15915561801362,-75.08539036398471,53.02668896410614,1.1990069130488434e-06,1.2444928387611355e-06,653.6255920505536,4995.83503450659,1293.3430181429362,585.3802514983574,1419.6500277967664
2023-08-09 16:38:08+00:00,40.16726917255353,-75.08202263679274,-520.0096500307566,40.15721068308591,-75.08567055765442,61.642932751914486,1.2051838921594363e-06,1.2482383664051577e-06,678.6814241001646,4995.56703008835,1493.003752605078,584.1108686443974,1603.198587874053
2023-08-09 16:38:09+00:00,40.16536237236737,-75.08215965324457,-519.6198211019591,40.1553731806472,-75.08567442006304,63.90909351874143,1.21333529305195e-06,1.255678596748799e-06,700.9623219756445,4995.307139944331,1692.583659184156,583.9772134263891,1790.4940181800323
2023-08-09 16:38:10+00:00,40.16345379001011,-75.08231075978708,-520.2670235563187,40.15357630311815,-75.08561445788901,63.92286864714697,1.224491507326353e-06,1.268894637023334e-06,727.8723953780178,4995.056480984516,1893.393793318441,584.6740028813203,1981.611401416045
2023-08-09 16:38:11+00:00,40.16154744496981,-75.0824866613329,-521.8908526018272,40.15177729323938,-75.08555930486185,63.01140393037349,1.2316693931202974e-06,1.2775135116957711e-06,752.6817768900112,4994.817158512184,2094.447158688868,586.2369424022382,2174.944287373127
2023-08-09 16:38:12+00:00,40.15963760258777,-75.08267870181538,-524.3873766954358,40.14989644949013,-75.08547765775434,61.51284208311699,1.244705933587077e-06,1.286964883797016e-06,779.3725622263174,4994.591058606531,2297.037203784357,588.3545768383253,2371.18979072871
2023-08-09 16:38:13+00:00,40.15772214304412,-75.08286335259122,-527.1631998752437,40.14788479619571,-75.08526328761485,60.21243445342407,1.2546316236227654e-06,1.3000508652003284e-06,808.0814885279387,4994.385538151943,2500.909662370301,591.0503616360448,2569.803430094845
2023-08-09 16:38:14+00:00,40.155796823454175,-75.08302085604763,-529.7884918630125,40.14580319620299,-75.08491754847499,59.69842350413092,1.2601150076290337e-06,1.3077777583583936e-06,832.706672919206,4994.197433179991,2706.960663772024,593.5189234831655,2771.263384765456
2023-08-09 16:38:15+00:00,40.15386444108218,-75.08313953277057,-532.0961276535425,40.143706853607135,-75.0844924204756,60.00105128320865,1.2769840321964417e-06,1.3198410886444625e-06,857.6077195271074,4994.023118400213,2914.5744163477057,595.7811180163558,2974.844394084065
2023-08-09 16:38:16+00:00,40.15193280778979,-75.0832279158458,-533.9497698089216,40.14163023180679,-75.0840763775783,60.49338428489864,1.2887836730875368e-06,1.325347210379191e-06,876.3791668017756,4993.863641533231,3122.719412384233,597.6762444231233,3179.401425053002
2023-08-09 16:38:17+00:00,40.14999864064866,-75.08329327170102,-535.5068631987427,40.13955932545406,-75.08369867528756,60.87421697424725,1.3070909574479196e-06,1.3362323886189682e-06,906.0135982282262,4993.71935101719,3331.554617885989,599.1910151961293,3385.009016922884
2023-08-09 16:38:18+00:00,40.148056795034975,-75.08335942223826,-537.0562780579969,40.13747475455416,-75.08336757244602,61.025352066149935,1.3161748877996085e-06,1.3478193449785686e-06,924.0984692968688,4993.591639147473,3541.454470980656,600.7261584274188,3592.0428292891834
2023-08-09 16:38:19+00:00,40.14610138448192,-75.08342246478537,-538.0912090479976,40.135345133128894,-75.08303379530861,61.56475627026521,1.325080537960299e-06,1.3567083228538242e-06,952.9182052755552,4993.481259625866,3753.673825349244,601.7243959141596,3801.59695861493
2023-08-09 16:38:20+00:00,40.14413294009381,-75.08347977139971,-538.7185047494986,40.13324143986711,-75.08275871552625,62.34508805349469,1.3326257507632963e-06,1.3663777372068738e-06,978.4101857063548,4993.388981709927,3969.039030939338,602.2200140178417,4014.46631252568
2023-08-09 16:38:21+00:00,40.14216322491937,-75.08353819052105,-539.3272635961278,40.13115027973565,-75.08258051445674,63.11392469191924,1.341422755370418e-06,1.3774881235034238e-06,1010.013911073394,4993.317151280967,4186.592643517184,602.7200824588507,4229.755248303548
2023-08-09 16:38:22+00:00,40.140202415638825,-75.08360799935153,-540.1888410715738,40.12902171406319,-75.08248172767654,63.57039364846423,1.3520568550725918e-06,1.3877176501593726e-06,1040.3342453224311,4993.265907334747,4405.590892667927,603.356613131071,4446.7145530343605
2023-08-09 16:38:23+00:00,40.13825614396034,-75.08370328982059,-541.6649945146512,40.12684934996944,-75.0824276789689,63.42523984704167,1.3617344144993646e-06,1.3966376476132766e-06,1068.7796149464475,4993.229742718561,4625.902980457048,604.7883456166477,4665.2703381042265
2023-08-09 16:38:24+00:00,40.13632474696454,-75.08381552120383,-544.161749903664,40.12459078954703,-75.08237884128205,62.71073048282415,1.3726601300703302e-06,1.4085194136651175e-06,1094.6807176062523,4993.207631457929,4846.83427366165,606.1389602356599,4884.588715076922
2023-08-09 16:38:25+00:00,40.13440161685858,-75.08395069818131,-547.4570695493089,40.12223389236817,-75.082330060708,61.45911097084172,1.3842078379827015e-06,1.413694152941704e-06,1114.3247678644054,4993.1995933748085,5068.623697235804,608.3101292528446,5104.996317092889
2023-08-09 16:38:26+00:00,40.13246435047302,-75.08410983736715,-551.3094727390198,40.11962193072938,-75.08226316329062,60.424179275054485,1.398140839155515e-06,1.4255910337913153e-06,1133.184411300092,4993.205725785778,5292.081773335227,611.3072947093895,5327.271919494239
2023-08-09 16:38:27+00:00,40.13050771433748,-75.08428653011887,-555.2890265988387,40.116791532687344,-75.08221454738482,59.98408065852709,1.4042688496550271e-06,1.4424156079066657e-06,1150.488623521299,4993.22615502043,5517.381286110496,615.4104955572197,5551.596737368835
2023-08-09 16:38:28+00:00,40.12853150717563,-75.08448330369004,-559.6165943173214,40.11402751221125,-75.0822438916851,59.3123462155927,1.416785868486977e-06,1.4561433417164462e-06,1187.7771955221408,4993.260907218995,5745.313797583162,619.89990287958,5778.659578335582
2023-08-09 16:38:29+00:00,40.12653380773314,-75.08470820963582,-564.0336308194566,40.111214370777226,-75.08234199061056,58.90432581491768,1.4286843608535852e-06,1.4642765082921108e-06,1217.6687480329583,4993.309425215313,5975.955168697529,623.8357198130242,6008.428345549055
2023-08-09 16:38:30+00:00,40.12451518047171,-75.08496298646826,-568.4076728409723,40.10837119552065,-75.0825165581395,58.73533095954917,1.4394393623143873e-06,1.470928225508776e-06,1237.267206710629,4993.368652695139,6209.1020406615535,627.7467531196048,6240.754292343167
2023-08-09 16:38:31+00:00,40.12247477668008,-75.08525307629836,-573.0960831504713,40.10552125531689,-75.08277109232596,58.675559842493385,1.455144668258473e-06,1.4832713763351214e-06,1264.409926651981,4993.438555702582,6444.568717089474,632.5349855528275,6475.535997679002
