trajectory,geo_rmse,geo_mean,geo_median,geo_std,geo_max,geo_min,baseline_rmse,baseline_mean,baseline_median,baseline_std,baseline_max,baseline_min,diff_rmse,diff_mean,diff_median
2023-08-06_14-48-05,2234.5366792362393,1724.8949376678943,1314.6216661345256,1420.5251229245437,6493.1290507033655,11.799394795223908,2129308.290506716,1805934.5062756462,1882807.7596816272,1128075.5094689229,3840406.7391789393,18.817368012316,-2127073.7538274797,-1804209.6113379782,-1881493.1380154926
2025-07-05_20-59-22,1132.2233667550965,860.4302406929924,633.7583676100537,735.9276819954833,4598.658000326688,1.5708826295643705,1726478.193797513,1457645.665829476,1769552.221033729,925200.554770081,2506138.0717992885,1.4962558086288262,-1725345.9704307579,-1456785.235588783,-1768918.4626661188
2025-09-27_12-54-35,4766.194611434372,3145.1087759248476,2172.2111502623507,3581.1872139929446,57198.15243663653,8.920416942226433,2343809.986740099,1950477.7570309832,1891729.4459731784,1299646.7878889279,4157261.338742018,15.929244264164735,-2339043.7921286644,-1947332.6482550583,-1889557.234822916
2025-11-09_17-34-01,6584.62821832488,4171.906813039699,2413.648905098456,5094.361816447005,33523.109445783026,1.4130135363819847,1694414.6443315966,1289419.982596178,934880.4644087822,1099289.3592712716,4142138.052269812,24.162642874080397,-1687830.0161132717,-1285248.0757831384,-932466.8155036838
2023-08-09_16-37-41,1783.4227417381576,1387.4353448376432,1082.0932878254066,1120.5444389421139,5656.69546902172,4.466425264995378,61764.9545366671,35892.408600686984,9545.423269770014,50265.739960313775,150070.43625520848,21.140961231405388,-59981.531794928946,-34504.97325584934,-8463.329981944607
2023-08-09_12-47-42,14799.7405094143,8393.553138451669,1370.9487100958431,12189.363595282026,38838.576933501674,15.525513087482251,676329.6617565886,581823.5257245683,651207.8666501367,344823.4276919335,1038329.0457744409,21.619696716127272,-661529.9212471743,-573429.9725861166,-649836.9179400408
2025-06-18_15-09-25,21826.36873351762,17026.732480521085,11942.210418986931,13655.79558752415,45282.65139072944,15.530457872589928,197005.14059979713,178450.98644602584,192530.25552160598,83464.18908242106,297390.30963641446,14.334036830529719,-175178.7718662795,-161424.25396550476,-180588.04510261904
2025-07-31_23-36-03,3626.2163660239116,2757.048655009948,1872.2372479115663,2355.446422045616,11162.956928294827,10.124283325202997,3360362.222844661,2795978.0390070365,2469627.274120107,1864012.0906560349,6105056.019787539,14.800306399882738,-3356736.0064786375,-2793220.9903520267,-2467755.036872195
2025-03-01_15-04-26,2332.3942750464216,1873.0173988978536,1505.5228098338043,1389.9168599938782,5822.815662523203,9.443174055401286,77718.93194346213,68449.8795259548,70818.16733551612,36808.237872992126,136712.79005769728,15.543269000155965,-75386.53766841571,-66576.86212705696,-69312.64452568232
2025-06-18_16-52-32,8239.137846506033,6265.059271627322,4427.608116156404,5350.927468834222,23683.979805366253,3.3255505602115414,1484622.9548756268,1327670.4550950765,1626380.778004938,664376.7611914714,2014394.2942800696,11.487660753833163,-1476383.8170291209,-1321405.3958234491,-1621953.1698887816
