trajectory,geo_rmse,geo_mean,geo_median,geo_std,geo_max,geo_min,baseline_rmse,baseline_mean,baseline_median,baseline_std,baseline_max,baseline_min,diff_rmse,diff_mean,diff_median
2025-07-04_17-24-46,1363.4380578828316,1046.4587323786925,767.9027567936841,874.0065555313001,4191.7883700301545,4.895371626790883,946718.0066508964,796217.9231716763,804588.7532366156,512164.0390902404,1820389.9093905631,6.544153205064951,-945354.5685930136,-795171.4644392977,-803820.8504798219
2023-08-06_14-48-05,2986.7393628719174,2273.652857230073,1804.647552042129,1936.7794677087197,11341.42808866526,18.25396829086996,2129308.290506716,1805934.5062756462,1882807.7596816272,1128075.5094689229,3840406.7391789393,18.817368012316,-2126321.551143844,-1803660.853418416,-1881003.1121295851
2025-07-05_20-59-22,4330.690783583603,2538.118181077521,992.9508246838012,3508.965483144525,17313.61271767971,1.2648468965533781,1726478.193797513,1457645.665829476,1769552.221033729,925200.554770081,2506138.0717992885,1.4962558086288262,-1722147.5030139294,-1455107.5476483984,-1768559.2702090451
2025-09-27_12-54-35,3984.566662339977,2496.7070930013824,2023.8972568024724,3105.3542758255035,56868.81872552232,15.833328745234724,2343809.986740099,1950477.7570309832,1891729.4459731784,1299646.7878889279,4157261.338742018,15.929244264164735,-2339825.420077759,-1947981.0499379819,-1889705.5487163758
2025-11-09_17-34-01,6004.679449989019,3546.4052928404376,1898.8637321969268,4845.532457432698,32789.81079767227,11.34526565921245,1694414.6443315966,1289419.982596178,934880.4644087822,1099289.3592712716,4142138.052269812,24.162642874080397,-1688409.9648816076,-1285873.5773033376,-932981.6006765852
2023-08-09_16-37-41,2663.0016958231004,2163.903097507549,1894.313670802731,1552.1280284029222,5765.51103068653,18.405200040450573,61764.9545366671,35892.408600686984,9545.423269770014,50265.739960313775,150070.43625520848,21.140961231405388,-59101.952840844,-33728.50550317943,-7651.109598967283
2023-08-09_12-47-42,17747.330854824293,10134.964581721233,1347.4401586004992,14568.810706363596,49443.638529772164,18.621171242856793,676329.6617565886,581823.5257245683,651207.8666501367,344823.4276919335,1038329.0457744409,21.619696716127272,-658582.3309017643,-571688.5611428471,-649860.4264915362
2025-06-18_15-09-25,29619.688782705747,22986.560340649557,22873.573029063988,18680.043021631976,68233.2220319585,8.781310037757962,197005.14059979713,178450.98644602584,192530.25552160598,83464.18908242106,297390.30963641446,14.334036830529719,-167385.45181709138,-155464.42610537627,-169656.682492542
2025-07-31_23-36-03,4575.968715615674,3271.407198395544,2247.4615031853996,3199.5913221189953,19642.693342282848,15.443420734743839,3360362.222844661,2795978.0390070365,2469627.274120107,1864012.0906560349,6105056.019787539,14.800306399882738,-3355786.2541290456,-2792706.631808641,-2467379.8126169215
2025-03-01_15-04-26,1406.6493796605816,1126.9356965406448,873.620120270853,841.8303945344047,5576.397571930811,12.871298696696474,77718.93194346213,68449.8795259548,70818.16733551612,36808.237872992126,136712.79005769728,15.543269000155965,-76312.28256380155,-67322.94382941416,-69944.54721524527
2025-06-18_16-52-32,8378.012063041197,6746.572173961758,5637.6817803106815,4967.378587342496,21366.453144938536,12.020677271713081,1484622.9548756268,1327670.4550950765,1626380.778004938,664376.7611914714,2014394.2942800696,11.487660753833163,-1476244.9428125857,-1320923.8829211148,-1620743.0962246275
